module.exports = `Equipment Type,Star,Rarity,Manufacturer,Image,Equipment Name,Equipment Description
Jewelry,3,Rare,Lunar Clan,Lunar_Oath.png,Lunar Oath,"The Lunar Oath Ring is a symbol of the most sacred and binding vows made within the Lunar clan, the royal werefolk clan. The ring is crafted from rare materials such as Turquoise Quartz and features a gemstone at its center, surrounded by a spiked design. When an individual takes an oath using the ring, a small drop of their blood is absorbed into the gemstone, merging with the energy of the Lunar royal family. The use of the Lunar Oath Ring is reserved for only the most significant and important vows within the clan, making it a rare and highly revered symbol of loyalty and commitment."
Jewelry,3,Rare,Cosmic Order,Solaria_Insignia.png,Solaria Insignia,"The Solaria Insignia Necklace is a prestigious and highly coveted prize awarded to the champion of the annual Solaria Summer Battle Dome, a premier fighting competition held in the city of Solaria. Attracting warriors from all corners of the world, the Solaria Summer Battle Dome is a fierce and grueling test of strength, skill, and determination. The necklace, made from the finest materials and adorned with a shimmering gemstone, serves as a symbol of the wearer's victory and is a testament to their prowess in combat. Wearing the Solaria Insignia Necklace is a source of pride and honor, and is coveted among fighters and martial artists throughout the realm."
Jewelry,3,Rare,Eldins Wonder Emporium,Sable_Wisp.png,Sable Wisp,"The Sable Wisp Earrings are a rare and highly prized piece of jewelry. Each earring contains the spirit and essence of a Sable, an ancient and extinct race of creatures with witch-like magical abilities. The earrings are believed to imbue the wearer with some of the magical powers of the Sables, and are highly sought after by those who desire a connection to this mysterious and ancient race."
Jewelry,3,Rare,Luxe Luminary,Luxe_Luminary_Bangle.png,Luxe Luminary Bangle,"The Luxe Luminary Bangle is a high-end piece of jewelry sold exclusively at Luxe Luminary, a luxury store located in the city of Lunar Capital. The bangle is made of a rare metal alloy and features a stunning blue gemstone. Many wealthy and influential individuals from all over the world covet this bangle, and it is often given as a gift to mark special occasions or as a symbol of status. Some even believe that the bangle holds special powers or is imbued with magic, although these claims are unproven. Regardless, the Luxe Luminary Bangle is highly sought after and is a symbol of wealth and prestige."
Footwear,1,Common,Cosmic Order,Recruit_Crusader_Boots.png,Recruit Crusader Boots,"The Recruit Crusader Boots are given to all new Crusader recruits. They are designed to protect the feet of the wearer in battle and are made with durable materials to withstand the wear and tear of training and missions. The metal toe plate helps to deflect attacks, while the breathable mesh material allows for comfort and mobility. These boots are a crucial part of a Crusader's equipment and are worn with pride by those who have joined the Cosmic Order."
Footwear,1,Common,Mercurion,Worn_Wonder_Trainers.png,Worn Wonder Trainers,"The Worn Wonder Trainers are a popular choice among runners and athletes due to their ability to enhance speed and performance. They are made by the well-known brand Mercurion, known for their comfortable and stylish trainers with a special touch. These trainers have been worn and used before, but still possess the same speed-enhancing properties as a brand new pair. They are a more affordable option for those seeking the benefits of Mercurion's trainers."
Footwear,1,Common,Tempest Clan,Tempest_Sandals.png,Tempest Sandals,"The Tempest Sandals are a traditional item of the Tempest Clan, a werefolk clan known for their strong connection to the element of air. The sandals are made using a special type of leather that is resistant to wind and lightning, and are imbued with the clan's signature energy. They are often worn by members of the clan during important ceremonies and rituals, and are considered a symbol of the clan's unity and strength."
Footwear,1,Common,Cosmic Order,Crusader_Admin_Shoes.png,Crusader Admin Shoes,"The Crusader Admin Shoes are a symbol of status and professionalism within the Cosmic Order. They are worn by administrative staff members as a sign of their dedication and service to the organization. Made with high-quality materials and craftsmanship, these shoes are durable and comfortable, allowing staff members to perform their duties efficiently and effectively. The sleek, stylish design of the shoes also reflects the sophistication and dignity of the Crusader Admin role."
Footwear,2,Uncommon,Cosmic Order,Tech_Military_Boots.png,Tech Military Boots,"The Tech Military Boots are a high-tech piece of equipment developed and used by the Cosmic Order. These boots are designed to provide maximum protection and mobility to the wearer, making them ideal for use in military and combat situations. The boots are made using advanced materials and features such as a reinforced toe and heel, shock-absorbing insoles, and a sturdy yet flexible sole."
Footwear,2,Uncommon,Jakares,Armoured_Shoes.png,Armoured Shoes,"The Armoured Shoes are designed specifically for those who need to have protection on their feet at all times. The shoes are equipped with sturdy armor plating that provides a high level of protection against physical damage, making them ideal for military personnel and other individuals who may find themselves in dangerous situations. Despite their rugged appearance, the shoes are also designed to be comfortable and can be worn for long periods of time without causing discomfort. The Armoured Shoes are a must-have for anyone who needs reliable protection for their feet in any situation."
Footwear,2,Uncommon,Jakares,Geta_Sandals.png,Geta Sandals,"The Geta Sandals are a unique and stylish piece of footwear that originated in the Land of the Rising Sun, Solaris. They are traditionally worn by highly skilled martial artists, as mastering fighting techniques while wearing the sandals is an impressive feat. These sandals feature a single tooth and a thong-style strap, as well as small gems around the border and hanging tassels on the corners. They are highly prized and respected by those who wear them, and are considered a symbol of strength and finesse."
Footwear,2,Uncommon,Mercurion,Techno_Pumped_Trainers.png,Techno Pumped Trainers,"The Techno Pumped Trainers are a revolutionary new type of trainer from the renowned brand Mercurion. Using advanced technology, these trainers are able to enhance the wearer's performance and speed in various ways. Whether you're running a marathon, training for a sport, or just need a boost in your daily routine, the Techno Pumped Trainers are sure to be a game-changer. They are also stylish and comfortable, making them a great choice for those who value both function and fashion."
Footwear,3,Rare,Cosmic Order,Tech_Jet_Boots.png,Tech Jet Boots,"The Tech Jet Boots are a highly advanced piece of technology developed by the Cosmic Order. The boots are equipped with powerful jet thrusters that allow the wearer to achieve flight, making them ideal for traversing long distances quickly or navigating difficult terrain. The boots are also equipped with a range of other features, including advanced sensors and communication systems, making them an essential tool for any Cosmic Order member. However, they are not widely accessible to all members as they require the Crusader to complete thorough training."
Footwear,3,Rare,Apollore,Leather_Imperials.png,Leather Imperials,"The Imperial Leather Trainers from Apollore are a luxurious pair of shoes, made from high-quality leather and adorned with sparkling gems. They are a symbol of status and wealth, often worn by those who want to make a statement with their footwear. Despite their opulent appearance, the Imperial Leather Trainers are also known for their durability and comfort, making them a popular choice for those who value both style and function."
Footwear,3,Rare,Apollore,Enchanted_Imperials.png,Enchanted Imperials,"The Enchanted Imperial Shoes are a luxurious and highly coveted pair of shoes made by the prestigious brand, Apollore. They are crafted from the finest materials, including rich leather and adorned with sparkling gemstones. The shoes are imbued with a hint of magic, featuring small wing-like designs on the sides that seem to shimmer and glow with a subtle, otherworldly light. These shoes are said to be incredibly comfortable and help the wearer feel lighter on their feet, almost as if they are gliding across the ground."
Footwear,3,Rare,Holy Celestial Association,Celestial_Seraph_Sandals.png,Celestial Seraph Sandals,"The Celestial Seraph Sandals are a special pair of sandals that are only worn by members of the Holy Celestial Association. These sandals are imbued with celestial magic, which allows the wearer to tap into the power of the stars and the sky. The blue straps are made from a special fabric that is resistant to wear and tear, and the markings on the sandals help to amplify their magical properties. These sandals are an important part of the Seraphs' uniform, and they are often given as a reward to those who have demonstrated their bravery and dedication to the cause of protecting the universe from the forces of the Abyss."
`
